Name
Agathi
Agapi
Aglaia
Agni
Athina
Aikaterini
Anastasia
Andriani
Anthi
Anna
Antigoni
Ariadni
Aspasia
Barbara
Beroniki
Bagia
Balanto
Balentina
Baleria
Balia
Banessa
Basiliki
Beronika
Biktoria
Bioleta
Birginia
Galini
Glykeria
Danai
Damiani
Daniela
Despoina
Dafni
Dimitra
Adamantia
Dionysia
Dominiki
Domna
Doukissa
Drosia
Dorothea
Eirini
Eleni
Elisabet
Elpida
Ermioni
Eyanthia
Eygenia
Eydokia
Eydoxia
Eythalia
Eythymia
Eylampia
Eysebia
Eystathia
Eytyxia
Eyfimia
Eyfrosyni
Zinobia
Zoi
Zafeiria
Zoumpoulia
Ibi
Ileana
Ilektra
Iliana
Ira
Iro
Io
THeano
THekla
THeodosia
THeodouli
THeodora
THeofania
Iaobina
Ioulia
Isidora
Kalliopi
Kleio
Kleopatra
Koralia
Kyriaki
Loukia
Lydia
Lamprini
Lemonia
Leykothea
Lida
Louiza
Loukritia
Loxantra
Louloudia
Magdalini
Margarita
Martha
Maria
Marina
Markella
Natalia
Niki
Natasa
Naysika
Nektaria
Nikoletta
Niobi
Ntalia
Olga
Oyrania
Olympia
Oyrsoula
Xeni
Panagiota
Paraskeyi
Pelagia
Pigi
Polyxeni
Rebekka
Roumpini
Roxani
Reggina
Rodanthi
Sofia
Spyridoula
Stamatia
Stayroula
Stefania
Styliani
Sotiria
Samantha
Sebastiani
Smaragda
Symela
Tatiani
Triantafyllia
Yakinthi
Ybonni
Filothei
Foibi
Foteini
Fratzeska
Xarikleia
Xaritini
Xaralampia
Xristina
Xristiana
Xrysanthi
Xrysa
Xrysanthi
Xrysoula
Oraia
Oraianthi
